node,importance_score,HIV_vs_Healthy
CNTN2,0.45137203658764236,0.0
PVR,0.4407317528467426,0.0
CD22,0.09090909090909091,-0.05568710213520709
ITGB1,0.5396677244726527,0.0
ALCAM,0.33171551241366437,-0.021941358824770493
PDCD1LG2,0.23184618256486839,-0.48873437127401304
ICOS,0.11890983759566921,-0.01469067419733941
ITGA9,0.5396677244726527,0.0
PVRL3,0.11554974799327983,-0.3021703811655017
ITGB7,0.07970879223445959,0.0
NTNG2,0.06328168751166698,0.0
ICAM1,0.11816315101736047,-0.6558335386681299
PTPRC,0.25070001866716446,-0.37008475060142487
CD34,0.549001306701512,-0.3434003869759421
LRRC4,0.19264513720365875,-0.5761676069321028
PTPRD,0.33171551241366437,-0.010136974339104387
ICAM3,0.12301661377636737,0.0
CD58,0.32518200485346277,-0.00959379128641563
CD86,0.7164457718872503,0.0
SLITRK1,0.10248273287287661,-0.11877633285182705
CNTN1,0.291767780474146,0.0
NTNG1,0.11890983759566921,-0.12432174634420096
SELPLG,0.3666231099495987,-0.6422261772706441
PVRL2,0.6873249953332089,-0.05244693431332227
CD2,0.11722979279447451,-0.04290993450964982
ICAM2,1.0,0.0
CD80,0.3324621989919731,0.0
SLITRK3,0.11853649430651483,-0.0005621135469364812
SELL,0.47750606682844876,0.0
TIGIT,0.12338995706552175,-0.09846452318512283
CNTNAP1,0.09856262833675565,-0.0005810440411842063
VCAM1,0.2661937651670711,-0.42246176421825155
NRCAM,0.12152324061974985,-0.0005621135469364812
PTPRF,0.11349635990293075,-0.006783223551733225
ICOSLG,0.8353556094829195,0.0010674356111297872
CD6,0.11853649430651483,0.0
ITGAL,0.4450252006720179,-0.012947542073786792
SELE,0.23613963039014374,0.0
ITGB2,0.9428784767593803,0.0
PTPRS,0.698338622363263,-0.2886860679806262
PDCD1,0.08512226992719805,-0.012947542073786792
CD226,0.11554974799327983,-0.006783223551733225
L1CAM,0.11890983759566921,0.0
SLITRK6,0.10248273287287661,-0.5963178967365965
CD28,0.3324621989919731,0.0
ITGAM,0.3277954078775434,-0.0675672085978641
NFASC,0.5594549187978346,-0.31739171986288217
SLITRK4,0.10248273287287661,0.0
ITGA4,0.42467799141310436,0.0
LRRC4B,0.3137950345342542,-0.08885180140445947
SLITRK2,0.10248273287287661,0.0
SLITRK5,0.10248273287287661,-0.6677383769055297
SELP,0.35822288594362517,-0.0005621135469364812
JAM2,0.7926078028747433,-0.5619737055434899
MADCAM1,0.3690498413291021,0.0
CNTNAP2,0.11890983759566921,0.0
LRRC4C,0.3324621989919731,0.0
F11R,0.8403957438865036,0.0
JAM3,0.11890983759566921,0.0
GLG1,0.08082882210192271,0.0
CTLA4,0.11890983759566921,0.0
