node,importance_score,HIV_vs_Healthy
EDN1,0.03793213828425096,-0.46256693227371415
RBX1,0.04001280409731114,-0.0011242270938729624
EIF4E,0.04001280409731114,-0.6177450789111546
MTOR,0.12003841229193342,-0.5238385302120001
RELA,0.8399487836107554,-0.2132871307141468
ANGPT4,0.03793213828425096,-0.1277322886143153
PRKCA,0.16005121638924455,0.0
FLT1,0.03313060179257362,0.0
NPPA,0.03201024327784891,-0.4479519800533657
PRKCG,0.16005121638924455,0.0
PDK1,0.06402048655569782,-0.5282526940077964
HMOX1,0.03201024327784891,0.0
EIF4EBP1,0.0,-0.25846444990579026
GAPDH,0.03201024327784891,-0.33314982967135137
IFNGR1,0.23335467349551856,-0.5722810543308239
IGF1R,0.05921895006402049,0.0
BCL2,0.03201024327784891,0.0
ANGPT2,0.03201024327784891,0.0
HIF1A,0.7999359795134443,-0.17099610123417663
IL6,0.12003841229193342,0.0
IL6R,0.08002560819462227,0.0
IFNGR2,0.23335467349551856,-0.06411880533925429
NOS2,0.03201024327784891,-0.5983724660235794
SERPINE1,0.03201024327784891,0.0
NOS3,0.03201024327784891,-0.05628707667063902
PDHB,0.03201024327784891,-0.597405789494736
IFNG,1.0,0.0
EPO,0.03201024327784891,-0.09902663673205932
INSR,0.030409731113956465,0.0005431830526887561
TLR4,0.9199743918053778,0.0
VHL,0.833066581306018,-0.333452717579315
PFKFB3,0.03201024327784891,-0.09166236913914187
TF,0.03313060179257362,-0.028686721388008266
NFKB1,0.19334186939820744,-0.738076765596819
CDKN1B,0.03201024327784891,-0.5548946166864979
IGF1,0.12772087067861715,-0.1489090997359196
ANGPT1,0.03201024327784891,-0.7216823469171842
CDKN1A,0.0,-0.41456683212529305
EP300,0.6347631241997439,-0.034907831392805004
ARNT,0.6914212548015365,-0.06589979845130237
MAP2K2,0.04001280409731114,-0.0005621135469364812
TEK,0.03201024327784891,-0.5473718825368938
MAP2K1,0.04001280409731114,-0.0005621135469364812
VEGFA,0.03201024327784891,-0.09904556722630703
TIMP1,0.03201024327784891,0.0
PRKCB,0.16005121638924455,0.0
INS,0.1336427656850192,0.0
TFRC,0.03201024327784891,-0.5757294575894336
EGF,0.12435979513444302,0.0
STAT3,0.04001280409731114,0.0
SLC2A1,0.0,-0.2881434955890422
ERBB2,0.030409731113956465,-0.3800159321482234
EGFR,0.030409731113956465,-0.535621236228447
