node,importance_score,HIV_vs_Healthy
RELN,0.194,-0.11928165491602036
DSPP,0.2,0.0
LAMC3,0.132,-0.6072325479926195
IBSP,0.2,0.0
CHAD,0.0596,-0.6389628043267782
ITGB1,0.0988,-0.006783223551733225
HSPG2,0.2,0.0
VTN,0.4,0.0
ITGB4,0.058,-0.5768243729502778
SPP1,0.2,0.0
ITGA9,0.1,0.0
ITGA5,0.1,-0.20322587835203332
CD44,0.1,0.0
CD47,0.1,-0.4069818105430029
ITGB5,0.1,0.0
ITGB7,0.1,0.0
DMP1,0.138,-0.48873437127401304
LAMB4,0.1,-0.002886289711673306
ITGA2,0.1,0.0
LAMC2,0.1,0.0
ITGA6,0.088,-0.3968201044291555
THBS1,0.5924,-0.0011242270938729624
LAMA4,0.422,-0.17101503172842433
ITGB8,0.1,0.0
ITGA8,0.1,0.0
MEPE,0.1392,-0.46396351422031246
SDC1,0.1,0.0
FN1,1.0,0.0
ITGA3,0.096,-0.02598973661881221
LAMB3,0.1,-0.009574860792167905
AGRN,0.2,0.0
SDC4,0.1,-0.0005621135469364812
LAMC1,0.5324,0.0
LAMB1,0.492,0.0
ITGA2B,0.1,0.0
GP9,0.1,-0.12726482753861745
VWF,0.6,0.0
ITGA4,0.1,0.0
ITGB6,0.1,0.0
NPNT,0.2,0.0
FRAS1,0.0984,-0.0675672085978641
DAG1,0.1,0.0
CD36,0.1,0.0
ITGA1,0.092,0.0
GP5,0.1,0.0
ITGA7,0.092,0.0
GP1BA,0.1,-0.0005621135469364812
ITGB3,0.0592,-0.6387851019452915
ITGAV,0.0912,-0.3511811254423095
GP1BB,0.1,-0.0005621135469364812
LAMB2,0.1748,-0.17731186371021201
